,FACILITY ID,FACILITY NAME,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,Location
10809,FA0020945,EL MONTE SUPERSTORE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2650 N ROSEMEAD BLVD,SOUTH EL MONTE,91733,34.0607374824,-118.0638588131,"(34.0607374824, -118.0638588131)"
10810,FA0162781,DUTY FREE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",380 WORLD WAY,LOS ANGELES,90045,33.944160206,-118.4082957354,"(33.944160206, -118.4082957354)"
10811,FA0020396,ED'S LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6616 ROSEMEAD BLVD,PICO RIVERA,90660,33.9852235472,-118.095057473,"(33.9852235472, -118.095057473)"
10825,FA0020386,EDIBLE ARRANGEMENTS,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",21809 VENTURA BLVD,WOODLAND HILLS,91364,34.1685840917,-118.6027708913,"(34.1685840917, -118.6027708913)"
10827,FA0061357,EL CANEY MEAT MARKET,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",4600 MAPLEWOOD AVE,LOS ANGELES,90004,34.0797906008,-118.304772518,"(34.0797906008, -118.304772518)"
10835,FA0262104,EL CHYMAL MEAT MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",8535 WASHINGTON BLVD STE A-B,PICO RIVERA,90660-3724,33.9864240991,-118.102789479,"(33.9864240991, -118.102789479)"
10839,FA0247779,DUSK TO DAWN URGENT CARE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",15745 PARAMOUNT BLVD,PARAMOUNT,90723,33.8898609954,-118.1601828188,"(33.8898609954, -118.1601828188)"
10843,FA0259305,EL CENTRO MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3414 FOWLER ST,LOS ANGELES,90063-2512,34.0583919375,-118.18865918040001,"(34.0583919375, -118.1886591804)"
10853,FA0012042,EL 7 MARES PESCADERIA,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",6321 E WHITTIER BLVD,LOS ANGELES,90022,34.0159123605,-118.1350386687,"(34.0159123605, -118.1350386687)"
10855,FA0258509,EDIBLE ARRANGEMENTS,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1265 WESTWOOD BLVD,LOS ANGELES,90024,34.057505248000005,-118.4431648418,"(34.057505248, -118.4431648418)"
10861,FA0011852,E&F ARCO,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",15922 INGLEWOOD AVE,LAWNDALE,90260,33.885721433899995,-118.361048822,"(33.8857214339, -118.361048822)"
10862,FA0012291,EL GALLO PRODUCE MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6300 GAGE AVE,BELL GARDENS,90201,33.973924195900004,-118.150119995,"(33.9739241959, -118.150119995)"
10866,FA0020543,EL BUEN DIA MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4708 E HAMMEL ST,LOS ANGELES,90022,34.042243488400004,-118.1645101101,"(34.0422434884, -118.1645101101)"
10868,FA0061213,EAGLE FUEL,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12906 BRANFORD ST,PACOIMA,91331,34.2403917873,-118.41363162100001,"(34.2403917873, -118.413631621)"
10869,FA0011732,DUKES LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1012 E FLORENCE AVE,LOS ANGELES,90001,33.9746070456,-118.2571376404,"(33.9746070456, -118.2571376404)"
10874,FA0061490,EL NUEVO MUNDO MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1735 W 7TH ST,LOS ANGELES,90017,34.0548662883,-118.2729371595,"(34.0548662883, -118.2729371595)"
10876,FA0158670,EBEN-EZER DOLLAR PLUS STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2029 E 1ST ST,LOS ANGELES,90033,34.0451464282,-118.213962702,"(34.0451464282, -118.213962702)"
10877,FA0251881,EL MERCADITO - GENERAL STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3425 E 1ST ST #003 -005,LOS ANGELES,90063,34.0367428141,-118.19407013610001,"(34.0367428141, -118.1940701361)"
10886,FA0019858,DUTY FREE #710,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",700 WORLD WAY,LOS ANGELES,90045,33.9429953441,-118.4002972399,"(33.9429953441, -118.4002972399)"
10888,FA0019681,DULCERIA CESAR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",14650 PARTHENIA ST # L17-1,PANORAMA CITY,91402,34.227873932899996,-118.45198584129999,"(34.2278739329, -118.4519858413)"
10894,FA0020274,"EFRAM,GILA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",931 PACIFIC COAST HWY,HERMOSA BEACH,90254,33.8621444785,-118.3925934711,"(33.8621444785, -118.3925934711)"
10895,FA0259086,EL MONTE CHEVRON,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",12004 RAMONA BLVD,EL MONTE,91732,34.0752545527,-118.0124363503,"(34.0752545527, -118.0124363503)"
10896,FA0061475,EL MOLINO MEXICAN MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1573 W ADAMS BLVD,LOS ANGELES,90018,34.0329042013,-118.29666179799999,"(34.0329042013, -118.296661798)"
10897,FA0019765,DRAGON HERBS,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",458 S ROBERTSON BLVD,LOS ANGELES,90048,34.0705006473,-118.3836086067,"(34.0705006473, -118.3836086067)"
10899,FA0061151,DRUZUBA MEAT MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",5222 W SUNSET BLVD # #A,LOS ANGELES,90027,34.0981034092,-118.3039292585,"(34.0981034092, -118.3039292585)"
10901,FA0268879,EASY MART,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",520 OCCIDENTAL BLVD,LOS ANGELES,90057,34.0764350157,-118.2757057017,"(34.0764350157, -118.2757057017)"
10903,FA0011710,DRIFTWOOD DAIRY MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3259 N FRAZIER ST,BALDWIN PARK,91706,34.0707213425,-117.9870499707,"(34.0707213425, -117.9870499707)"
10907,FA0269280,EIH INC (GAS STATION),"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4000 REDONDO BEACH BLVD,TORRANCE,90504,33.877112345,-118.3443228657,"(33.877112345, -118.3443228657)"
10911,FA0020300,EL AZTECA MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4031 S MAIN ST,LOS ANGELES,90037,34.010202968499996,-118.2742114867,"(34.0102029685, -118.2742114867)"
